"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_G";"FREQ_St";"FREQ_Q";"FREQ_M";"FREQ_T";"FREQ_S";"FREQ_A";"FREQ_B";"FREQ_N";"FREQ_DESCRIZIONE";"PRIORITA";"FLAG_SANITARIO";"NORMATIVA";"RESPONSABILE";"NOTE";"FONTE";"DATA_ULTIMO_INTERVENTO_ANTINCENDIO"
"01";"Antincendio";"Via Doria 52";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-01-08"
"01";"Antincendio";"Via Doria 52";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-01-08"
"02";"Antincendio";"Via Don Orione 2";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-02"
"02";"Antincendio";"Via Don Orione 2";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-02"
"03";"Antincendio";"Via Farini 9";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-17"
"03";"Antincendio";"Via Farini 9";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-17"
"04";"Antincendio";"Via Rugabella 4_6";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-01-21"
"04";"Antincendio";"Via Rugabella 4_6";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-01-21"
"05";"Antincendio";"Via Sassi 4";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-01-26"
"05";"Antincendio";"Via Sassi 4";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-01-26"
"07";"Antincendio";"Viale Jenner 44";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-02"
"07";"Antincendio";"Viale Jenner 44";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-02"
"09";"Antincendio";"Via Calvairate 1";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-24"
"09";"Antincendio";"Via Calvairate 1";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-24"
"10";"Antincendio";"Via Polesine 6";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-02"
"10";"Antincendio";"Via Polesine 6";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-02"
"12";"Antincendio";"POT Bollate";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Bollate";"2026-02-24"
"12";"Antincendio";"POT Bollate";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Bollate";"2026-02-24"
"15";"Antincendio";"Via Clericetti 22";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-02"
"15";"Antincendio";"Via Clericetti 22";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-02"
"16";"Antincendio";"Via Don Bosco 14";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-02"
"16";"Antincendio";"Via Don Bosco 14";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-02"
"17";"Antincendio";"Via Fantoli 7";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-01-21"
"17";"Antincendio";"Via Fantoli 7";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-01-21"
"18";"Antincendio";"Via Palombino 4";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2025-10-31"
"18";"Antincendio";"Via Palombino 4";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2025-10-31"
"19";"Antincendio";"Via Quarenghi 21";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-02"
"19";"Antincendio";"Via Quarenghi 21";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-02"
