Ubicazione Prevalente,Tipologia Impianto,Asset / Apparecchiatura,Quantità Totale,Frequenza Manutentiva,FM,Riferimento Normativo,Note di Verifica / Prescrizioni,Data Ultimo Intervento,Data Scadenza
Via A. Doria 52,ANTINCENDIO,Estintori,54,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integrità.",,
Via A. Doria 52,ANTINCENDIO,Porte Tagliafuoco / REI,90,Semestrale,6,DM 10/03/98,Verifica integrità guarnizioni.,,
Via A. Doria 52,ANTINCENDIO,Idranti / Naspi,21,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
Via A. Doria 52,ANTINCENDIO,Rilevazione Fumi,4055 m2,Semestrale,6,UNI 11224,Test dei rilevatori.,,
Via A. Doria 52,ANTINCENDIO,Illum. Emergenza,1374 m2,Semestrale,6,UNI EN 1838,Test di autonomia.,,
Via A. Doria 52,ANTINCENDIO,Centrale Pressurizzazione,0,Settimanale / Mensile,1,UNI EN 12845,Avviamento pompe,,
Via A. Doria 52,ELETTRICI,Quadri e Distribuzione,4075 m2,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
Via A. Doria 52,ELETTRICI,Locali Uso Medico (G1/G2),43,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
Via A. Doria 52,ELETTRICI,Impianto Terra / Scariche,4075 m2,Biennale,24,DPR 462/01,Misura resistenza terra.,,
Via A. Doria 52,ELETTRICI,Rifasatori,0,Semestrale,6,Norme CEI,Misura del Cos,,
Via A. Doria 52,ELEVATORI,Elevatori (1-5 piani),1,Mensile / Semestrale,1,DPR 162/99,Verifica sicurezze.,,
Via A. Doria 52,ELEVATORI,Elevatori (6-10 piani),3,Mensile / Semestrale,1,DPR 162/99,Lubrificazione organi.,,
Via A. Doria 52,ELEVATORI,Servoscala,0,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
Via A. Doria 52,MECCANICI,Caldaie (36-350 kW),2,Mensile/Trimestrale,1,DPR 74/13,Analisi combustione.,,
Via A. Doria 52,MECCANICI,Caldaie (>350 kW),0,Settimanale,6,DPR 74/13,Controllo pressione.,,
Via A. Doria 52,MECCANICI,Gruppi Frigo / Chiller,1,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
Via A. Doria 52,MECCANICI,UTA (Trattamento Aria),1,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
Via A. Doria 52,MECCANICI,Addolcitori,1,Settimanale/Mensile,1,DM 25/12,Verifica durezza.,,
Via A. Doria 52,MECCANICI,Produttori Biossido Cloro,1,Settimanale,,Linee Guida,Dosaggio continuo.,,
Via A. Doria 52,MECCANICI,Pompe Sollevamento,1,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
Via A. Doria 52,MECCANICI,Distribuzione impianti idronici e sottocentrali,4075 m2,Annuale,12,Norme Tecniche,Manutenzione,,
Via A. Doria 52,MECCANICI,Ventilconvettori,0,Annuale,12,Linee Guida,Pulizia filtri,,
Via A. Doria 52,MECCANICI,Condizionatori tipo split/VRV/carrellabili,4,Annuale,12,Linee Guida,Sanificazione,,
Via A. Doria 52,MECCANICI,"Canali di distribuzione, ripresa, serrande",3715 m2,Annuale,12,Linee Guida,Pulizia condotte,,
Via A. Doria 52,MECCANICI,Distribuzione idrico sanitaria,4075 m2,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
Via A. Doria 52,MECCANICI,Centrali idriche (Vasche),1,Mensile,1,D.Lgs 31/01,Controllo vasche,,
Via A. Doria 52,MECCANICI,Prove della legionella della rete idrico-sanitaria,3,Annuale,12,Linee Guida,Prelievi,,
Via A. Doria 52,EDILE,Cancelli e sbarre motorizzati,1,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via A. Doria 52,EDILE,Porte automatiche e portoni sezionali,2,Semestrale,6,D.Lgs 81/08,Sicurezze,,
