ID,Sito,Indirizzo,Città
1,VIA DORIA 52,Via Andrea Doria 52,Milano
2,VIA FARINI 9,Via Carlo Farini 9,Milano
3,VIA STATUTO 5,Via Statuto 5,Milano
4,VIA RUGABELLA 4,Via Rugabella 4,Milano
5,V.LE JENNER 44,Viale Jenner 44,Milano
6,VIA LIVIGNO 3,Via Livigno 3,Milano
7,VIA PERINI 22,Via Perini 22,Milano
8,VIA ALDINI 72,Via Aldini 72,Milano
9,VIA NATTA 19,Via Giulio Natta 19,Milano
10,VIA CILEA 146A,Via Francesco Cilea 146A,Milano
11,VIA QUARENGHI 21,Via Quarenghi 21,Milano
12,VIA R. SANZIO 9,Via Raffaello Sanzio 9,Milano
13,POT BOLLATE,Via es: Bollate,Bollate
15,VIA ADRIANO 99,Via Adriano 99,Milano
16,VIA ADRIANO 107,Via Adriano 107,Milano
17,VIA PADOVA 118,Via Padova 118,Milano
18,VIA SASSI 4 - P.SSA JOLANDA,Via Sassi 4,Milano
19,VIA CLERICETTI 22,Via Clericetti 22,Milano
20,C.SO PLEBISCITI 4,Corso Plebisciti 4,Milano
21,L.GO VOLONTARI DEL SANGUE 1,Largo Volontari del Sangue 1,Milano
22,VIA S. ERLEMBALDO 4D,Via S. Erlembaldo 4D,Milano
23,VIALE PICENO 60,Viale Piceno 60,Milano
24,VIA CALVAIRATE 1,Via Calvairate 1,Milano
25,VIALE PUGLIE 33,Viale Puglie 33,Milano
26,VIA OGLIO 18,Via Oglio 18,Milano
27,VIA POLESINE 6,Via Polesine 6,Milano
28,VIA FANTOLI 7,Via Fantoli 7,Milano
29,VIA MONTE PALOMBINO 4,Via Monte Palombino 4,Milano
30,VIA SERLIO 8,Via Serlio 8,Milano
31,VIA DON ORIONE 2,Via Don Orione 2,Milano
32,VIA DON BOSCO 14,Via Don Bosco 14,Milano
33,MAGAZZINO/UFFICI,TBD,TBD
